Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1533420000.0 529.0 14 38 0 NA NA NA 62 89 0 NA NA NA 2283 419 200 NA NA NA 5615 534 305 NA NA NA
1533420000.0 530.0 14 38 0 NA NA NA 65 89 0 NA NA NA 4188 422 201 NA NA NA 4654 674 299 NA NA NA
1533420000.0 531.0 59 0 NA NA NA NA 193 0 NA NA NA NA 400 196 NA NA NA NA 523 270 NA NA NA NA
1533420000.0 534.0 37 0 NA NA NA NA 101 0 NA NA NA NA 436 201 NA NA NA NA 716 305 NA NA NA NA
1533420000.0 535.0 64 0 NA NA NA NA 134 0 NA NA NA NA 3641 180 NA NA NA NA 4694 271 NA NA NA NA
1533420000.0 541.0 46 0 NA NA NA NA 95 0 NA NA NA NA 443 194 NA NA NA NA 562 288 NA NA NA NA
1533420000.0 545.0 43 0 NA NA NA NA 95 0 NA NA NA NA 470 259 NA NA NA NA 590 524 NA NA NA NA
1533420000.0 552.0 14 38 0 NA NA NA 65 88 0 NA NA NA 4245 402 212 NA NA NA 4765 506 345 NA NA NA
1533420000.0 554.0 14 37 0 NA NA NA 66 89 0 NA NA NA 3349 427 195 NA NA NA 3598 543 288 NA NA NA
1533420000.0 556.0 21 39 0 NA NA NA 66 94 0 NA NA NA 418 424 231 NA NA NA 619 529 430 NA NA NA
1533420000.0 560.0 33 0 NA NA NA NA 84 0 NA NA NA NA 421 199 NA NA NA NA 544 291 NA NA NA NA
1533420000.0 561.0 36 0 NA NA NA NA 84 0 NA NA NA NA 415 197 NA NA NA NA 550 281 NA NA NA NA
